Perfis Profissionais;Técnico de suporte ao usuário de tecnologia da informação Junior;Técnico de suporte ao usuário de tecnologia da informação Pleno;Técnico de suporte ao usuário de tecnologia da informação Senior;Técnico em manutenção de equipamentos de informática Junior;Técnico em manutenção de equipamentos de informática Pleno;Técnico em manutenção de equipamentos de informática Senior;Gerente de suporte técnico de tecnologia da informação;Analista de suporte computacional Junior;Analista de suporte computacional Pleno;Analista de suporte computacional Senior;Gerente de infraestrutura de tecnologia da informação;Administrador de banco de dados - Junior;Administrador de banco de dados - Pleno;Administrador de banco de dados - Senior;Administrador de sistemas operacionais Junior;Administrador de sistemas operacionais Pleno;Administrador de sistemas operacionais Senior;Analista de redes e de comunicação de dados Junior;Analista de redes e de comunicação de dados Pleno;Analista de redes e de comunicação de dados Senior;Tecnico de Rede (Telecomunicacoes) Junior;Tecnico de Rede (Telecomunicacoes) Pleno;Tecnico de Rede (Telecomunicacoes) Senior;Desenvolvedor de sistemas de tecnologia da informação Junior;Desenvolvedor de sistemas de tecnologia da informação Pleno;Desenvolvedor de sistemas de tecnologia da informação Senior;Analista de sistemas de automação - Junior;Analista de sistemas de automação - Pleno;Analista de sistemas de automação - Senior;Administrador em segurança da informação - Junior;Administrador em segurança da informação - Pleno;Administrador em segurança da informação - Senior;Gerente de segurança da informação;Especialista em Cloud Pleno;Especialista em Cloud Sênior
Guias Salariais 2023;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; R$ 13.100,00 ;  ;  ;  ;  ;  ;  ;; R$ 6.025,52 ; R$ 9.100,00 ;  ;  ;  ;  ;; R$ 11.732,13 ;  ;  ;  ;  ;  ;  ;  ;  ; R$ 10.984,38 
Guias Salariais 2023;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; R$ 15.200,00 ;  ;  ;  ;  ;  ;  ;;; R$ 8.000,00 ;  ;  ;  ;  ; R$ 7.458,25 ; R$ 12.893,75 ;  ;  ;  ;  ;  ;  ;  ;  ; R$ 17.500,00 
Guias Salariais 2023;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; R$ 13.450,00 ;  ;  ;  ;  ;  ;  ; R$ 5.166,67 ; R$ 6.377,08 ; R$ 9.075,00 ;  ;  ;  ;  ; R$ 9.602,09 ; R$ 12.841,88 ;  ;  ;  ;  ;  ;  ;  ;  ; R$ 10.984,38 
Guias Salariais 2023;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; R$ 16.166,67 ;  ;  ;  ;  ;  ;  ;  ;; R$ 7.796,88 ;  ;  ;  ;  ; R$ 9.333,33 ; R$ 12.500,00 ;  ;  ;  ;  ;  ;  ;  ;  ; R$ 17.500,00 
Guias Salariais 2023;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; R$ 20.640,63 ;  ;  ;  ;  ;  ;  ;  ; R$ 4.166,67 ; R$ 8.934,38 ;  ;  ;  ;  ;  ; R$ 12.182,50 ;  ;  ;  ;  ;  ;  ;  ;  ; R$ 15.343,75 
Guias Salariais 2023;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; R$ 13.738,75 ;  ;  ;  ;  ;  ;  ;  ; R$ 6.666,67 ; R$ 8.000,00 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
Guias Salariais 2023;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; R$ 17.325,00 ;  ;  ;  ;  ;  ;  ;  ;  ; R$ 9.075,00 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
Guias Salariais 2023;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; R$ 11.375,00 ;  ;  ;  ;  ;  ;  ;  ;  ; R$ 10.039,78 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
Guias Salariais 2023;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; R$ 14.000,00 ;  ;  ;  ;  ;  ;  ;  ;  ; R$ 9.748,75 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
Guias Salariais 2023;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; R$ 12.166,67 ;  ;  ;  ;  ;  ;  ;  ;  ; R$ 12.068,29 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
Guias Salariais 2023;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; R$ 13.500,00 ;  ;  ;  ;  ;  ;  ;  ;  ;;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
Guias Salariais 2023;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; R$ 8.973,96 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
Guias Salariais 2023;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; R$ 9.587,50 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
Guias Salariais 2023;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; R$ 12.000,00 ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
Guias Salariais 2023;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
Guias Salariais 2023;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
